category,year,quarter,month_num,variance,overspend
Logistics & Freight,2025,1,3,0.05,true
Admin & Overhead,2025,1,3,0.01,true
Sales & Marketing,2025,1,3,-0.02,false
Finance Costs,2025,1,3,0.01,true
Compliance & Legal,2025,1,3,-0.01,false
Logistics & Freight,2025,2,6,0.06,true
Admin & Overhead,2025,2,6,0.02,true
Sales & Marketing,2025,2,6,-0.01,false
Finance Costs,2025,2,6,0.01,true
Compliance & Legal,2025,2,6,-0.01,false
Logistics & Freight,2025,3,9,0.07,true
Admin & Overhead,2025,3,9,0.02,true
Sales & Marketing,2025,3,9,-0.01,false
Finance Costs,2025,3,9,0.01,true
Compliance & Legal,2025,3,9,-0.015,false
Logistics & Freight,2025,4,12,0.07,true
Admin & Overhead,2025,4,12,0.01,true
Sales & Marketing,2025,4,12,-0.01,false
Finance Costs,2025,4,12,0.01,true
Compliance & Legal,2025,4,12,-0.015,false
Logistics & Freight,2026,1,1,0.07,true
Admin & Overhead,2026,1,1,0.01,true
Sales & Marketing,2026,1,1,-0.01,false
Finance Costs,2026,1,1,0.01,true
Compliance & Legal,2026,1,1,-0.015,false
Logistics & Freight,2026,1,2,0.075,true
Admin & Overhead,2026,1,2,0.015,true
Sales & Marketing,2026,1,2,-0.01,false
Finance Costs,2026,1,2,0.01,true
Compliance & Legal,2026,1,2,-0.018,false
Logistics & Freight,2026,1,3,0.08,true
Admin & Overhead,2026,1,3,0.02,true
Sales & Marketing,2026,1,3,-0.01,false
Finance Costs,2026,1,3,0.01,true
Compliance & Legal,2026,1,3,-0.02,false
