policy_id,policy_number,subsidiary,line_of_business,customer_id,broker_id,inception_date,expiry_date,sum_insured,annual_premium,status,payment_status,renewal_flag
POL-000001,LWL-LIFE-2025-00001,LWL,Life,CUST-001,BRK-001,2025-01-01,2026-01-01,50000000,1800000,Active,Paid,No
POL-000002,LWL-LIFE-2025-00002,LWL,Life,CUST-002,BRK-002,2025-01-15,2026-01-15,25000000,900000,Active,Paid,No
POL-000003,LWL-LIFE-2025-00003,LWL,Group Life,CUST-003,BRK-001,2025-02-01,2026-02-01,500000000,12000000,Active,Paid,No
POL-000004,LWG-MOTOR-2025-00001,LWG,Motor,CUST-004,BRK-003,2025-01-10,2026-01-10,8500000,425000,Active,Paid,No
POL-000005,LWG-MOTOR-2025-00002,LWG,Motor,CUST-005,BRK-003,2025-02-01,2026-02-01,12000000,600000,Active,Paid,No
POL-000006,LWG-FIRE-2025-00001,LWG,Fire & Special Perils,CUST-006,BRK-004,2025-01-01,2026-01-01,200000000,1200000,Active,Paid,No
POL-000007,LWG-FIRE-2025-00002,LWG,Fire & Special Perils,CUST-007,BRK-005,2025-01-20,2026-01-20,350000000,2100000,Active,Paid,No
POL-000008,LWG-MAR-2025-00001,LWG,Marine,CUST-008,BRK-006,2025-03-01,2026-03-01,450000000,3150000,Active,Paid,No
POL-000009,LWG-ENG-2025-00001,LWG,Engineering,CUST-009,BRK-007,2025-01-01,2027-01-01,1200000000,8400000,Active,Paid,No
POL-000010,LWH-HLTH-2025-00001,LWH,Health,CUST-010,BRK-001,2025-01-01,2026-01-01,0,5400000,Active,Paid,No
POL-000011,LWH-HLTH-2025-00002,LWH,Health,CUST-011,BRK-002,2025-02-01,2026-02-01,0,3600000,Active,Paid,No
POL-000012,LWL-ANNU-2025-00001,LWL,Annuity,CUST-012,,2025-01-01,2045-01-01,0,2400000,Active,Paid,No
POL-000013,LWN-PENS-2025-00001,LWN,Pension,CUST-013,BRK-008,2025-01-01,2026-01-01,0,8800000,Active,Paid,No
POL-000014,LWG-LIAB-2025-00001,LWG,Liability,CUST-014,BRK-009,2025-01-15,2026-01-15,100000000,700000,Active,Paid,No
POL-000015,LWG-MOTOR-2025-00003,LWG,Motor,CUST-015,BRK-003,2025-03-01,2026-03-01,5500000,275000,Active,Unpaid,Yes
POL-000016,LWL-LIFE-2025-00004,LWL,Life,CUST-016,BRK-010,2024-07-01,2025-07-01,30000000,1200000,Active,Paid,Yes
POL-000017,LWG-FIRE-2025-00003,LWG,Fire & Special Perils,CUST-017,BRK-004,2025-04-01,2026-04-01,600000000,3600000,Active,Paid,No
POL-000018,LWH-HLTH-2025-00003,LWH,Health,CUST-018,BRK-002,2025-03-01,2026-03-01,0,7200000,Active,Partial,No
POL-000019,LWG-MAR-2025-00002,LWG,Marine,CUST-019,BRK-006,2025-02-15,2026-02-15,800000000,5600000,Active,Paid,No
POL-000020,LWL-LIFE-2025-00005,LWL,Life,CUST-020,BRK-001,2025-01-01,2026-01-01,75000000,2700000,Lapsed,Unpaid,No
