treaty_id,reinsurer_name,reinsurer_rating,treaty_type,line_of_business,treaty_year,premium_ceded_ngn,retention_pct,cession_pct,commission_income_ngn,recoveries_outstanding_ngn,counterparty_exposure_ngn,treaty_limit_ngn,reinstatement_used,status,domicile
TR-2025-001,Swiss Re International SE,A+,Quota Share,Life,2025,8500000000,30,70,1190000000,2200000000,2200000000,50000000000,0,Active,Switzerland
TR-2025-002,Munich Re Group,A+,Quota Share,General,2025,6200000000,35,65,868000000,1800000000,1800000000,40000000000,0,Active,Germany
TR-2025-003,Hannover Re SE,A+,Excess of Loss,Motor,2025,1800000000,50,50,252000000,420000000,420000000,10000000000,1,Active,Germany
TR-2025-004,Africa Re,A-,Quota Share,Fire,2025,2400000000,40,60,336000000,650000000,650000000,15000000000,0,Active,Nigeria
TR-2025-005,General Re Corporation,A+,Excess of Loss,Engineering,2025,1200000000,45,55,168000000,280000000,280000000,8000000000,0,Active,USA
TR-2025-006,SCOR SE,A+,Quota Share,Life,2025,4200000000,30,70,588000000,980000000,980000000,25000000000,0,Active,France
TR-2025-007,Lloyd's of London Syndicate,A,Catastrophe XL,General,2025,3500000000,100,0,490000000,0,850000000,100000000000,0,Active,United Kingdom
TR-2025-008,Zep Re,BBB+,Quota Share,Marine,2025,980000000,50,50,137200000,220000000,220000000,5000000000,0,Active,Kenya
TR-2025-009,Continental Re,BBB,Quota Share,Fire,2025,680000000,40,60,95200000,165000000,165000000,4000000000,0,Active,Nigeria
TR-2025-010,West African Re,BBB+,Quota Share,General,2025,1100000000,45,55,154000000,240000000,240000000,6000000000,0,Active,Nigeria
TR-2025-011,Everest Re Group,A+,Excess of Loss,Liability,2025,850000000,60,40,119000000,0,180000000,20000000000,0,Active,USA
TR-2025-012,Transatlantic Holdings,A,Quota Share,Group Life,2025,2800000000,35,65,392000000,620000000,620000000,18000000000,0,Active,USA
TR-2025-013,Partner Re Ltd,A+,Excess of Loss,Marine,2025,1500000000,50,50,210000000,380000000,380000000,12000000000,0,Active,Bermuda
TR-2025-014,Trust Re,BBB,Quota Share,Motor,2025,920000000,55,45,128800000,195000000,195000000,5000000000,2,Active,Bahrain
TR-2025-015,RGA International,A+,Quota Share,Life,2025,3800000000,30,70,532000000,850000000,850000000,22000000000,0,Active,USA
TR-2025-016,CCR Re,A-,Excess of Loss,Fire,2025,650000000,100,0,91000000,0,120000000,30000000000,0,Active,France
TR-2025-017,Odyssey Re,A,Quota Share,Health,2025,480000000,40,60,67200000,98000000,98000000,3000000000,0,Active,USA
TR-2025-018,Shelter Afrique Re,BBB-,Quota Share,Fire,2025,320000000,50,50,44800000,75000000,75000000,2000000000,0,Active,Kenya
